date,keyword,hits
2004-01-01,recession,3
2004-02-01,recession,4
2004-03-01,recession,5
2004-04-01,recession,5
2004-05-01,recession,4
2004-06-01,recession,3
2004-07-01,recession,3
2004-08-01,recession,3
2004-09-01,recession,5
2004-10-01,recession,6
2004-11-01,recession,5
2004-12-01,recession,3
2005-01-01,recession,2
2005-02-01,recession,4
2005-03-01,recession,4
2005-04-01,recession,4
2005-05-01,recession,3
2005-06-01,recession,3
2005-07-01,recession,2
2005-08-01,recession,3
2005-09-01,recession,5
2005-10-01,recession,4
2005-11-01,recession,4
2005-12-01,recession,4
2006-01-01,recession,4
2006-02-01,recession,4
2006-03-01,recession,4
2006-04-01,recession,4
2006-05-01,recession,4
2006-06-01,recession,3
2006-07-01,recession,3
2006-08-01,recession,4
2006-09-01,recession,4
2006-10-01,recession,4
2006-11-01,recession,4
2006-12-01,recession,4
2007-01-01,recession,3
2007-02-01,recession,7
2007-03-01,recession,6
2007-04-01,recession,4
2007-05-01,recession,4
2007-06-01,recession,3
2007-07-01,recession,3
2007-08-01,recession,6
2007-09-01,recession,11
2007-10-01,recession,8
2007-11-01,recession,14
2007-12-01,recession,12
2008-01-01,recession,58
2008-02-01,recession,27
2008-03-01,recession,30
2008-04-01,recession,27
2008-05-01,recession,18
2008-06-01,recession,14
2008-07-01,recession,16
2008-08-01,recession,17
2008-09-01,recession,34
2008-10-01,recession,53
2008-11-01,recession,37
2008-12-01,recession,51
2009-01-01,recession,36
2009-02-01,recession,45
2009-03-01,recession,44
2009-04-01,recession,32
2009-05-01,recession,28
2009-06-01,recession,20
2009-07-01,recession,22
2009-08-01,recession,20
2009-09-01,recession,23
2009-10-01,recession,21
2009-11-01,recession,22
2009-12-01,recession,20
2010-01-01,recession,17
2010-02-01,recession,17
2010-03-01,recession,17
2010-04-01,recession,17
2010-05-01,recession,14
2010-06-01,recession,12
2010-07-01,recession,12
2010-08-01,recession,13
2010-09-01,recession,16
2010-10-01,recession,14
2010-11-01,recession,14
2010-12-01,recession,13
2011-01-01,recession,10
2011-02-01,recession,11
2011-03-01,recession,11
2011-04-01,recession,12
2011-05-01,recession,11
2011-06-01,recession,12
2011-07-01,recession,10
2011-08-01,recession,18
2011-09-01,recession,15
2011-10-01,recession,14
2011-11-01,recession,13
2011-12-01,recession,10
2012-01-01,recession,9
2012-02-01,recession,10
2012-03-01,recession,9
2012-04-01,recession,10
2012-05-01,recession,10
2012-06-01,recession,8
2012-07-01,recession,8
2012-08-01,recession,8
2012-09-01,recession,11
2012-10-01,recession,11
2012-11-01,recession,11
2012-12-01,recession,9
2013-01-01,recession,7
2013-02-01,recession,9
2013-03-01,recession,8
2013-04-01,recession,9
2013-05-01,recession,8
2013-06-01,recession,5
2013-07-01,recession,5
2013-08-01,recession,5
2013-09-01,recession,7
2013-10-01,recession,8
2013-11-01,recession,8
2013-12-01,recession,7
2014-01-01,recession,6
2014-02-01,recession,8
2014-03-01,recession,7
2014-04-01,recession,9
2014-05-01,recession,8
2014-06-01,recession,6
2014-07-01,recession,5
2014-08-01,recession,5
2014-09-01,recession,7
2014-10-01,recession,8
2014-11-01,recession,9
2014-12-01,recession,8
2015-01-01,recession,7
2015-02-01,recession,7
2015-03-01,recession,8
2015-04-01,recession,9
2015-05-01,recession,8
2015-06-01,recession,6
2015-07-01,recession,6
2015-08-01,recession,7
2015-09-01,recession,8
2015-10-01,recession,9
2015-11-01,recession,8
2015-12-01,recession,9
2016-01-01,recession,9
2016-02-01,recession,11
2016-03-01,recession,9
2016-04-01,recession,11
2016-05-01,recession,9
2016-06-01,recession,7
2016-07-01,recession,6
2016-08-01,recession,6
2016-09-01,recession,8
2016-10-01,recession,9
2016-11-01,recession,11
2016-12-01,recession,7
2017-01-01,recession,7
2017-02-01,recession,8
2017-03-01,recession,9
2017-04-01,recession,9
2017-05-01,recession,8
2017-06-01,recession,6
2017-07-01,recession,5
2017-08-01,recession,6
2017-09-01,recession,6
2017-10-01,recession,8
2017-11-01,recession,8
2017-12-01,recession,8
2018-01-01,recession,7
2018-02-01,recession,10
2018-03-01,recession,9
2018-04-01,recession,10
2018-05-01,recession,9
2018-06-01,recession,10
2018-07-01,recession,9
2018-08-01,recession,8
2018-09-01,recession,10
2018-10-01,recession,13
2018-11-01,recession,12
2018-12-01,recession,19
2019-01-01,recession,13
2019-02-01,recession,12
2019-03-01,recession,15
2019-04-01,recession,14
2019-05-01,recession,12
2019-06-01,recession,11
2019-07-01,recession,11
2019-08-01,recession,48
2019-09-01,recession,21
2019-10-01,recession,19
2019-11-01,recession,14
2019-12-01,recession,13
2020-01-01,recession,11
2020-02-01,recession,17
2020-03-01,recession,73
2020-04-01,recession,35
2020-05-01,recession,18
2020-06-01,recession,16
2020-07-01,recession,11
2020-08-01,recession,10
2020-09-01,recession,11
2020-10-01,recession,10
2020-11-01,recession,11
2020-12-01,recession,8
2021-01-01,recession,7
2021-02-01,recession,7
2021-03-01,recession,8
2021-04-01,recession,8
2021-05-01,recession,8
2021-06-01,recession,5
2021-07-01,recession,6
2021-08-01,recession,5
2021-09-01,recession,7
2021-10-01,recession,7
2021-11-01,recession,8
2021-12-01,recession,7
2022-01-01,recession,8
2022-02-01,recession,12
2022-03-01,recession,23
2022-04-01,recession,41
2022-05-01,recession,52
2022-06-01,recession,100
2022-07-01,recession,83
2022-08-01,recession,35
2022-09-01,recession,31
2022-10-01,recession,44
2022-11-01,recession,32
2022-12-01,recession,26
2023-01-01,recession,29
2023-02-01,recession,23
2023-03-01,recession,27
2023-04-01,recession,26
2023-05-01,recession,26
2023-06-01,recession,18
2023-07-01,recession,14
2023-08-01,recession,16
2023-09-01,recession,16
2023-10-01,recession,17
2023-11-01,recession,16
2023-12-01,recession,15
2004-01-01,prices,64
2004-02-01,prices,60
2004-03-01,prices,68
2004-04-01,prices,68
2004-05-01,prices,77
2004-06-01,prices,64
2004-07-01,prices,62
2004-08-01,prices,65
2004-09-01,prices,57
2004-10-01,prices,60
2004-11-01,prices,57
2004-12-01,prices,57
2005-01-01,prices,55
2005-02-01,prices,55
2005-03-01,prices,63
2005-04-01,prices,66
2005-05-01,prices,59
2005-06-01,prices,59
2005-07-01,prices,58
2005-08-01,prices,85
2005-09-01,prices,92
2005-10-01,prices,59
2005-11-01,prices,56
2005-12-01,prices,49
2006-01-01,prices,54
2006-02-01,prices,54
2006-03-01,prices,55
2006-04-01,prices,69
2006-05-01,prices,66
2006-06-01,prices,54
2006-07-01,prices,60
2006-08-01,prices,55
2006-09-01,prices,59
2006-10-01,prices,56
2006-11-01,prices,51
2006-12-01,prices,46
2007-01-01,prices,49
2007-02-01,prices,50
2007-03-01,prices,52
2007-04-01,prices,52
2007-05-01,prices,66
2007-06-01,prices,54
2007-07-01,prices,52
2007-08-01,prices,50
2007-09-01,prices,47
2007-10-01,prices,49
2007-11-01,prices,57
2007-12-01,prices,50
2008-01-01,prices,51
2008-02-01,prices,50
2008-03-01,prices,66
2008-04-01,prices,69
2008-05-01,prices,76
2008-06-01,prices,74
2008-07-01,prices,69
2008-08-01,prices,62
2008-09-01,prices,74
2008-10-01,prices,80
2008-11-01,prices,74
2008-12-01,prices,66
2009-01-01,prices,60
2009-02-01,prices,58
2009-03-01,prices,60
2009-04-01,prices,53
2009-05-01,prices,57
2009-06-01,prices,56
2009-07-01,prices,58
2009-08-01,prices,55
2009-09-01,prices,49
2009-10-01,prices,55
2009-11-01,prices,54
2009-12-01,prices,51
2010-01-01,prices,53
2010-02-01,prices,51
2010-03-01,prices,54
2010-04-01,prices,51
2010-05-01,prices,55
2010-06-01,prices,54
2010-07-01,prices,51
2010-08-01,prices,48
2010-09-01,prices,45
2010-10-01,prices,45
2010-11-01,prices,49
2010-12-01,prices,49
2011-01-01,prices,57
2011-02-01,prices,62
2011-03-01,prices,72
2011-04-01,prices,71
2011-05-01,prices,73
2011-06-01,prices,66
2011-07-01,prices,66
2011-08-01,prices,64
2011-09-01,prices,58
2011-10-01,prices,58
2011-11-01,prices,58
2011-12-01,prices,56
2012-01-01,prices,58
2012-02-01,prices,62
2012-03-01,prices,65
2012-04-01,prices,60
2012-05-01,prices,62
2012-06-01,prices,64
2012-07-01,prices,64
2012-08-01,prices,60
2012-09-01,prices,58
2012-10-01,prices,59
2012-11-01,prices,54
2012-12-01,prices,53
2013-01-01,prices,54
2013-02-01,prices,57
2013-03-01,prices,54
2013-04-01,prices,55
2013-05-01,prices,58
2013-06-01,prices,61
2013-07-01,prices,61
2013-08-01,prices,55
2013-09-01,prices,53
2013-10-01,prices,50
2013-11-01,prices,51
2013-12-01,prices,50
2014-01-01,prices,53
2014-02-01,prices,52
2014-03-01,prices,53
2014-04-01,prices,56
2014-05-01,prices,55
2014-06-01,prices,57
2014-07-01,prices,58
2014-08-01,prices,52
2014-09-01,prices,50
2014-10-01,prices,53
2014-11-01,prices,52
2014-12-01,prices,63
2015-01-01,prices,67
2015-02-01,prices,61
2015-03-01,prices,58
2015-04-01,prices,58
2015-05-01,prices,58
2015-06-01,prices,59
2015-07-01,prices,69
2015-08-01,prices,66
2015-09-01,prices,61
2015-10-01,prices,56
2015-11-01,prices,55
2015-12-01,prices,59
2016-01-01,prices,67
2016-02-01,prices,66
2016-03-01,prices,60
2016-04-01,prices,60
2016-05-01,prices,65
2016-06-01,prices,70
2016-07-01,prices,68
2016-08-01,prices,59
2016-09-01,prices,57
2016-10-01,prices,59
2016-11-01,prices,55
2016-12-01,prices,57
2017-01-01,prices,62
2017-02-01,prices,60
2017-03-01,prices,62
2017-04-01,prices,63
2017-05-01,prices,63
2017-06-01,prices,69
2017-07-01,prices,71
2017-08-01,prices,67
2017-09-01,prices,60
2017-10-01,prices,56
2017-11-01,prices,57
2017-12-01,prices,58
2018-01-01,prices,57
2018-02-01,prices,60
2018-03-01,prices,58
2018-04-01,prices,60
2018-05-01,prices,63
2018-06-01,prices,65
2018-07-01,prices,66
2018-08-01,prices,59
2018-09-01,prices,55
2018-10-01,prices,56
2018-11-01,prices,58
2018-12-01,prices,57
2019-01-01,prices,57
2019-02-01,prices,58
2019-03-01,prices,61
2019-04-01,prices,57
2019-05-01,prices,59
2019-06-01,prices,62
2019-07-01,prices,62
2019-08-01,prices,58
2019-09-01,prices,53
2019-10-01,prices,51
2019-11-01,prices,50
2019-12-01,prices,51
2020-01-01,prices,52
2020-02-01,prices,54
2020-03-01,prices,62
2020-04-01,prices,58
2020-05-01,prices,46
2020-06-01,prices,45
2020-07-01,prices,45
2020-08-01,prices,44
2020-09-01,prices,41
2020-10-01,prices,43
2020-11-01,prices,42
2020-12-01,prices,40
2021-01-01,prices,45
2021-02-01,prices,51
2021-03-01,prices,49
