"","date","keyword","hits"
"1",2004-01-01,"inflation",23
"2",2004-02-01,"inflation",27
"3",2004-03-01,"inflation",27
"4",2004-04-01,"inflation",37
"5",2004-05-01,"inflation",29
"6",2004-06-01,"inflation",26
"7",2004-07-01,"inflation",20
"8",2004-08-01,"inflation",19
"9",2004-09-01,"inflation",28
"10",2004-10-01,"inflation",27
"11",2004-11-01,"inflation",31
"12",2004-12-01,"inflation",28
"13",2005-01-01,"inflation",24
"14",2005-02-01,"inflation",28
"15",2005-03-01,"inflation",31
"16",2005-04-01,"inflation",34
"17",2005-05-01,"inflation",25
"18",2005-06-01,"inflation",21
"19",2005-07-01,"inflation",18
"20",2005-08-01,"inflation",20
"21",2005-09-01,"inflation",25
"22",2005-10-01,"inflation",31
"23",2005-11-01,"inflation",25
"24",2005-12-01,"inflation",23
"25",2006-01-01,"inflation",23
"26",2006-02-01,"inflation",25
"27",2006-03-01,"inflation",25
"28",2006-04-01,"inflation",30
"29",2006-05-01,"inflation",31
"30",2006-06-01,"inflation",26
"31",2006-07-01,"inflation",19
"32",2006-08-01,"inflation",19
"33",2006-09-01,"inflation",21
"34",2006-10-01,"inflation",23
"35",2006-11-01,"inflation",24
"36",2006-12-01,"inflation",21
"37",2007-01-01,"inflation",19
"38",2007-02-01,"inflation",25
"39",2007-03-01,"inflation",23
"40",2007-04-01,"inflation",25
"41",2007-05-01,"inflation",22
"42",2007-06-01,"inflation",18
"43",2007-07-01,"inflation",16
"44",2007-08-01,"inflation",18
"45",2007-09-01,"inflation",21
"46",2007-10-01,"inflation",24
"47",2007-11-01,"inflation",26
"48",2007-12-01,"inflation",24
"49",2008-01-01,"inflation",30
"50",2008-02-01,"inflation",31
"51",2008-03-01,"inflation",33
"52",2008-04-01,"inflation",32
"53",2008-05-01,"inflation",29
"54",2008-06-01,"inflation",31
"55",2008-07-01,"inflation",27
"56",2008-08-01,"inflation",22
"57",2008-09-01,"inflation",28
"58",2008-10-01,"inflation",33
"59",2008-11-01,"inflation",27
"60",2008-12-01,"inflation",23
"61",2009-01-01,"inflation",21
"62",2009-02-01,"inflation",27
"63",2009-03-01,"inflation",29
"64",2009-04-01,"inflation",24
"65",2009-05-01,"inflation",21
"66",2009-06-01,"inflation",20
"67",2009-07-01,"inflation",15
"68",2009-08-01,"inflation",16
"69",2009-09-01,"inflation",17
"70",2009-10-01,"inflation",20
"71",2009-11-01,"inflation",20
"72",2009-12-01,"inflation",19
"73",2010-01-01,"inflation",16
"74",2010-02-01,"inflation",19
"75",2010-03-01,"inflation",19
"76",2010-04-01,"inflation",19
"77",2010-05-01,"inflation",18
"78",2010-06-01,"inflation",12
"79",2010-07-01,"inflation",11
"80",2010-08-01,"inflation",12
"81",2010-09-01,"inflation",13
"82",2010-10-01,"inflation",19
"83",2010-11-01,"inflation",24
"84",2010-12-01,"inflation",15
"85",2011-01-01,"inflation",17
"86",2011-02-01,"inflation",24
"87",2011-03-01,"inflation",20
"88",2011-04-01,"inflation",27
"89",2011-05-01,"inflation",19
"90",2011-06-01,"inflation",14
"91",2011-07-01,"inflation",14
"92",2011-08-01,"inflation",15
"93",2011-09-01,"inflation",15
"94",2011-10-01,"inflation",17
"95",2011-11-01,"inflation",16
"96",2011-12-01,"inflation",14
"97",2012-01-01,"inflation",12
"98",2012-02-01,"inflation",14
"99",2012-03-01,"inflation",15
"100",2012-04-01,"inflation",16
"101",2012-05-01,"inflation",14
"102",2012-06-01,"inflation",11
"103",2012-07-01,"inflation",9
"104",2012-08-01,"inflation",10
"105",2012-09-01,"inflation",17
"106",2012-10-01,"inflation",16
"107",2012-11-01,"inflation",15
"108",2012-12-01,"inflation",13
"109",2013-01-01,"inflation",13
"110",2013-02-01,"inflation",15
"111",2013-03-01,"inflation",14
"112",2013-04-01,"inflation",16
"113",2013-05-01,"inflation",13
"114",2013-06-01,"inflation",10
"115",2013-07-01,"inflation",9
"116",2013-08-01,"inflation",9
"117",2013-09-01,"inflation",12
"118",2013-10-01,"inflation",16
"119",2013-11-01,"inflation",15
"120",2013-12-01,"inflation",14
"121",2014-01-01,"inflation",13
"122",2014-02-01,"inflation",14
"123",2014-03-01,"inflation",15
"124",2014-04-01,"inflation",16
"125",2014-05-01,"inflation",16
"126",2014-06-01,"inflation",12
"127",2014-07-01,"inflation",10
"128",2014-08-01,"inflation",9
"129",2014-09-01,"inflation",14
"130",2014-10-01,"inflation",16
"131",2014-11-01,"inflation",14
"132",2014-12-01,"inflation",14
"133",2015-01-01,"inflation",14
"134",2015-02-01,"inflation",15
"135",2015-03-01,"inflation",16
"136",2015-04-01,"inflation",17
"137",2015-05-01,"inflation",16
"138",2015-06-01,"inflation",11
"139",2015-07-01,"inflation",11
"140",2015-08-01,"inflation",11
"141",2015-09-01,"inflation",17
"142",2015-10-01,"inflation",16
"143",2015-11-01,"inflation",16
"144",2015-12-01,"inflation",16
"145",2016-01-01,"inflation",13
"146",2016-02-01,"inflation",16
"147",2016-03-01,"inflation",15
"148",2016-04-01,"inflation",18
"149",2016-05-01,"inflation",14
"150",2016-06-01,"inflation",10
"151",2016-07-01,"inflation",9
"152",2016-08-01,"inflation",9
"153",2016-09-01,"inflation",14
"154",2016-10-01,"inflation",15
"155",2016-11-01,"inflation",17
"156",2016-12-01,"inflation",15
"157",2017-01-01,"inflation",14
"158",2017-02-01,"inflation",16
"159",2017-03-01,"inflation",17
"160",2017-04-01,"inflation",16
"161",2017-05-01,"inflation",14
"162",2017-06-01,"inflation",10
"163",2017-07-01,"inflation",10
"164",2017-08-01,"inflation",10
"165",2017-09-01,"inflation",14
"166",2017-10-01,"inflation",15
"167",2017-11-01,"inflation",15
"168",2017-12-01,"inflation",15
"169",2018-01-01,"inflation",14
"170",2018-02-01,"inflation",24
"171",2018-03-01,"inflation",16
"172",2018-04-01,"inflation",18
"173",2018-05-01,"inflation",15
"174",2018-06-01,"inflation",11
"175",2018-07-01,"inflation",11
"176",2018-08-01,"inflation",12
"177",2018-09-01,"inflation",15
"178",2018-10-01,"inflation",18
"179",2018-11-01,"inflation",16
"180",2018-12-01,"inflation",15
"181",2019-01-01,"inflation",13
"182",2019-02-01,"inflation",15
"183",2019-03-01,"inflation",15
"184",2019-04-01,"inflation",17
"185",2019-05-01,"inflation",15
"186",2019-06-01,"inflation",11
"187",2019-07-01,"inflation",11
"188",2019-08-01,"inflation",11
"189",2019-09-01,"inflation",13
"190",2019-10-01,"inflation",14
"191",2019-11-01,"inflation",13
"192",2019-12-01,"inflation",13
"193",2020-01-01,"inflation",13
"194",2020-02-01,"inflation",15
"195",2020-03-01,"inflation",17
"196",2020-04-01,"inflation",19
"197",2020-05-01,"inflation",16
"198",2020-06-01,"inflation",12
"199",2020-07-01,"inflation",13
"200",2020-08-01,"inflation",16
"201",2020-09-01,"inflation",18
"202",2020-10-01,"inflation",13
"203",2020-11-01,"inflation",14
"204",2020-12-01,"inflation",15
"205",2021-01-01,"inflation",17
"206",2021-02-01,"inflation",23
"207",2021-03-01,"inflation",26
"208",2021-04-01,"inflation",24
"209",2021-05-01,"inflation",51
"210",2021-06-01,"inflation",43
"211",2021-07-01,"inflation",28
"212",2021-08-01,"inflation",22
"213",2021-09-01,"inflation",23
"214",2021-10-01,"inflation",35
"215",2021-11-01,"inflation",53
"216",2021-12-01,"inflation",42
"217",2022-01-01,"inflation",51
"218",2022-02-01,"inflation",57
